taskNumber,yaxis,xaxis,zaxis,force
3,69.63,-20.48,-258.05,-0.1
3,105.47,-55.3,-244.74,-0.0
3,105.47,-55.3,-244.74,-0.0
3,105.47,-55.3,-244.74,-0.0
3,105.47,-55.3,-244.74,-0.0
3,105.47,-55.3,-244.74,-0.0
3,91.14,-64.51,-241.66,-0.0
3,91.14,-64.51,-241.66,-0.0
3,91.14,-64.51,-241.66,-0.0
3,91.14,-64.51,-241.66,-0.0
3,91.14,-64.51,-241.66,-0.0
3,91.14,-64.51,-241.66,-0.0
3,98.3,9.22,-227.33,-0.1
3,98.3,9.22,-227.33,-0.1
3,98.3,9.22,-227.33,-0.1
3,98.3,9.22,-227.33,-0.1
3,98.3,9.22,-227.33,-0.1
3,98.3,9.22,-227.33,-0.1
3,163.84,18.43,-254.98,0.0
3,163.84,18.43,-254.98,0.0
3,163.84,18.43,-254.98,0.0
3,163.84,18.43,-254.98,0.0
3,163.84,18.43,-254.98,0.0
3,122.88,78.85,-198.66,-0.1
3,122.88,78.85,-198.66,-0.1
3,122.88,78.85,-198.66,-0.1
3,122.88,78.85,-198.66,-0.1
3,122.88,78.85,-198.66,-0.1
3,122.88,78.85,-198.66,-0.1
3,167.94,31.74,-159.74,1.0
3,167.94,31.74,-159.74,1.0
3,167.94,31.74,-159.74,1.0
3,167.94,31.74,-159.74,1.0
3,167.94,31.74,-159.74,1.0
3,155.65,46.08,-192.51,42.5
3,155.65,46.08,-192.51,42.5
3,155.65,46.08,-192.51,42.5
3,155.65,46.08,-192.51,42.5
3,155.65,46.08,-192.51,42.5
3,155.65,46.08,-192.51,42.5
3,147.46,60.42,-210.94,266.1
3,147.46,60.42,-210.94,266.1
3,147.46,60.42,-210.94,266.1
3,147.46,60.42,-210.94,266.1
3,147.46,60.42,-210.94,266.1
3,153.6,60.42,-206.85,639.9
3,153.6,60.42,-206.85,639.9
3,153.6,60.42,-206.85,639.9
3,153.6,60.42,-206.85,639.9
3,153.6,60.42,-206.85,639.9
3,153.6,60.42,-206.85,639.9
3,153.6,60.42,-211.97,822.1
3,153.6,60.42,-211.97,822.1
3,153.6,60.42,-211.97,822.1
3,153.6,60.42,-211.97,822.1
3,153.6,60.42,-211.97,822.1
3,286.72,44.03,-287.74,489.3
3,286.72,44.03,-287.74,489.3
3,286.72,44.03,-287.74,489.3
3,286.72,44.03,-287.74,489.3
3,286.72,44.03,-287.74,489.3
3,286.72,44.03,-287.74,489.3
3,29.7,0.0,-173.06,69.3
3,29.7,0.0,-173.06,69.3
3,29.7,0.0,-173.06,69.3
3,29.7,0.0,-173.06,69.3
3,29.7,0.0,-173.06,69.3
3,52.22,26.62,-242.69,0.3
3,52.22,26.62,-242.69,0.3
3,52.22,26.62,-242.69,0.3
3,52.22,26.62,-242.69,0.3
3,52.22,26.62,-242.69,0.3
3,52.22,26.62,-242.69,0.3
3,80.9,14.34,-281.6,-0.1
3,80.9,14.34,-281.6,-0.1
3,80.9,14.34,-281.6,-0.1
3,80.9,14.34,-281.6,-0.1
3,80.9,14.34,-281.6,-0.1
3,40.96,-3.07,-233.47,0.0
3,40.96,-3.07,-233.47,0.0
3,40.96,-3.07,-233.47,0.0
3,40.96,-3.07,-233.47,0.0
3,40.96,-3.07,-233.47,0.0
3,40.96,-3.07,-233.47,0.0
3,48.13,15.36,-272.38,0.0
3,48.13,15.36,-272.38,0.0
3,48.13,15.36,-272.38,0.0
3,48.13,15.36,-272.38,0.0
3,48.13,15.36,-272.38,0.0
3,48.13,15.36,-272.38,0.0
3,28.67,19.46,-263.17,-0.0
3,28.67,19.46,-263.17,-0.0
3,28.67,19.46,-263.17,-0.0
3,28.67,19.46,-263.17,-0.0
3,28.67,19.46,-263.17,-0.0
3,53.25,-1.02,-285.7,0.0
3,53.25,-1.02,-285.7,0.0
3,53.25,-1.02,-285.7,0.0
3,53.25,-1.02,-285.7,0.0
3,53.25,-1.02,-285.7,0.0
3,53.25,-1.02,-285.7,0.0
3,56.32,-4.1,-281.6,-0.1
3,56.32,-4.1,-281.6,-0.1
3,56.32,-4.1,-281.6,-0.1
3,56.32,-4.1,-281.6,-0.1
3,56.32,-4.1,-281.6,-0.1
3,26.62,-9.22,-247.81,-0.0
3,26.62,-9.22,-247.81,-0.0
3,26.62,-9.22,-247.81,-0.0
3,26.62,-9.22,-247.81,-0.0
3,26.62,-9.22,-247.81,-0.0
3,26.62,-9.22,-247.81,-0.0
3,65.54,2.05,-284.67,0.1
3,65.54,2.05,-284.67,0.1
3,65.54,2.05,-284.67,0.1
3,65.54,2.05,-284.67,0.1
3,65.54,2.05,-284.67,0.1
3,65.54,2.05,-284.67,0.1
3,28.67,2.05,-253.95,-0.0
3,28.67,2.05,-253.95,-0.0
3,28.67,2.05,-253.95,-0.0
3,28.67,2.05,-253.95,-0.0
3,28.67,2.05,-253.95,-0.0
3,35.84,-5.12,-259.07,-0.0
3,35.84,-5.12,-259.07,-0.0
3,35.84,-5.12,-259.07,-0.0
4,25.6,18.43,-286.72,-0.1
4,25.6,18.43,-286.72,-0.1
4,25.6,18.43,-286.72,-0.1
4,25.6,18.43,-286.72,-0.1
4,25.6,18.43,-286.72,-0.1
4,25.6,24.58,-268.29,-0.1
4,25.6,24.58,-268.29,-0.1
4,25.6,24.58,-268.29,-0.1
4,25.6,24.58,-268.29,-0.1
4,25.6,24.58,-268.29,-0.1
4,45.06,21.5,-268.29,-0.1
4,45.06,21.5,-268.29,-0.1
4,45.06,21.5,-268.29,-0.1
4,45.06,21.5,-268.29,-0.1
4,45.06,21.5,-268.29,-0.1
4,45.06,21.5,-268.29,-0.1
4,23.55,62.46,-262.14,0.0
4,23.55,62.46,-262.14,0.0
4,23.55,62.46,-262.14,0.0
4,23.55,62.46,-262.14,0.0
4,23.55,62.46,-262.14,0.0
4,23.55,62.46,-262.14,0.0
4,18.43,24.58,-240.64,-0.1
4,18.43,24.58,-240.64,-0.1
4,18.43,24.58,-240.64,-0.1
4,18.43,24.58,-240.64,-0.1
4,18.43,24.58,-240.64,-0.1
4,91.14,12.29,-212.99,-0.1
4,91.14,12.29,-212.99,-0.1
4,91.14,12.29,-212.99,-0.1
4,91.14,12.29,-212.99,-0.1
4,91.14,12.29,-212.99,-0.1
4,91.14,12.29,-212.99,-0.1
4,139.26,-23.55,-249.86,-0.0
4,139.26,-23.55,-249.86,-0.0
4,139.26,-23.55,-249.86,-0.0
4,139.26,-23.55,-249.86,-0.0
4,139.26,-23.55,-249.86,-0.0
4,123.9,-52.22,-253.95,0.0
4,123.9,-52.22,-253.95,0.0
4,123.9,-52.22,-253.95,0.0
4,123.9,-52.22,-253.95,0.0
4,123.9,-52.22,-253.95,0.0
4,123.9,-52.22,-253.95,0.0
4,132.1,-7.17,-227.33,0.0
4,132.1,-7.17,-227.33,0.0
4,132.1,-7.17,-227.33,0.0
4,132.1,-7.17,-227.33,0.0
4,132.1,-7.17,-227.33,0.0
4,128.0,39.94,-125.95,-0.1
4,128.0,39.94,-125.95,-0.1
4,128.0,39.94,-125.95,-0.1
4,128.0,39.94,-125.95,-0.1
4,128.0,39.94,-125.95,-0.1
4,128.0,39.94,-125.95,-0.1
4,148.48,71.68,-176.13,2.9
4,148.48,71.68,-176.13,2.9
4,148.48,71.68,-176.13,2.9
4,148.48,71.68,-176.13,2.9
4,148.48,71.68,-176.13,2.9
4,143.36,36.86,-220.16,68.6
4,143.36,36.86,-220.16,68.6
4,143.36,36.86,-220.16,68.6
4,143.36,36.86,-220.16,68.6
4,143.36,36.86,-220.16,68.6
4,143.36,36.86,-220.16,68.6
4,161.79,54.27,-202.75,333.7
4,161.79,54.27,-202.75,333.7
4,161.79,54.27,-202.75,333.7
4,161.79,54.27,-202.75,333.7
4,161.79,54.27,-202.75,333.7
4,161.79,54.27,-202.75,333.7
4,157.7,55.3,-205.82,697.2
4,157.7,55.3,-205.82,697.2
4,157.7,55.3,-205.82,697.2
4,157.7,55.3,-205.82,697.2
4,157.7,55.3,-205.82,697.2
4,161.79,59.39,-206.85,763.2
4,161.79,59.39,-206.85,763.2
4,161.79,59.39,-206.85,763.2
4,161.79,59.39,-206.85,763.2
4,161.79,59.39,-206.85,763.2
4,203.78,-7.17,-112.64,332.3
4,203.78,-7.17,-112.64,332.3
4,203.78,-7.17,-112.64,332.3
4,203.78,-7.17,-112.64,332.3
4,203.78,-7.17,-112.64,332.3
4,203.78,-7.17,-112.64,332.3
4,18.43,-11.26,-165.89,26.1
4,18.43,-11.26,-165.89,26.1
4,18.43,-11.26,-165.89,26.1
4,18.43,-11.26,-165.89,26.1
4,18.43,-11.26,-165.89,26.1
4,18.43,-11.26,-165.89,26.1
4,102.4,13.31,-295.94,0.0
4,102.4,13.31,-295.94,0.0
4,102.4,13.31,-295.94,0.0
4,102.4,13.31,-295.94,0.0
4,102.4,13.31,-295.94,0.0
4,67.58,0.0,-254.98,-0.1
4,67.58,0.0,-254.98,-0.1
4,67.58,0.0,-254.98,-0.1
4,67.58,0.0,-254.98,-0.1
4,67.58,0.0,-254.98,-0.1
4,67.58,0.0,-254.98,-0.1
4,66.56,-15.36,-218.11,-0.1
4,66.56,-15.36,-218.11,-0.1
4,66.56,-15.36,-218.11,-0.1
4,66.56,-15.36,-218.11,-0.1
4,66.56,-15.36,-218.11,-0.1
4,48.13,-6.14,-236.54,-0.1
4,48.13,-6.14,-236.54,-0.1
4,48.13,-6.14,-236.54,-0.1
4,48.13,-6.14,-236.54,-0.1
4,48.13,-6.14,-236.54,-0.1
4,48.13,-6.14,-236.54,-0.1
4,51.2,14.34,-251.9,0.0
4,51.2,14.34,-251.9,0.0
4,51.2,14.34,-251.9,0.0
4,51.2,14.34,-251.9,0.0
